node1,node2,voltage1,voltage2
N00,N01,10.0,7.388061394664479
N00,N10,10.0,7.089554317338724
N01,N02,7.388061394664479,6.268658175731798
N01,N11,7.388061394664479,5.89552600826164
N02,N03,6.268658175731798,5.522389810832969
N02,N12,6.268658175731798,5.8955233216979455
N03,N13,5.522389810832969,4.776121445934141
N10,N11,7.089554317338724,5.89552600826164
N10,N20,7.089554317338724,5.373136943754531
N11,N12,5.89552600826164,5.8955233216979455
N11,N21,5.89552600826164,4.4029879350691665
N12,N13,5.8955233216979455,4.776121445934141
N12,N22,5.8955233216979455,3.9552266474960938
N13,N23,4.776121445934141,2.9104512052715084
N20,N21,5.373136943754531,4.4029879350691665
N20,N30,5.373136943754531,4.626868578855703
N21,N22,4.4029879350691665,3.9552266474960938
N21,N31,4.4029879350691665,3.880600213956874
N22,N23,3.9552266474960938,2.9104512052715084
N22,N32,3.9552266474960938,2.6119441279457525
N23,N33,2.9104512052715084,5.522384288448684e-06
N30,N31,4.626868578855703,3.880600213956874
N31,N32,3.880600213956874,2.6119441279457525
N32,N33,2.6119441279457525,5.522384288448684e-06
