node1,node2,voltage1,voltage2
N00,N01,10.0,7.258918417024557
N00,N10,10.0,7.100398335744364
N01,N02,7.258918417024557,6.103039865628314
N01,N11,7.258918417024557,5.673715385445357
N02,N03,6.103039865628314,5.376488013698381
N02,N12,6.103039865628314,5.673713166162002
N03,N13,5.376488013698381,4.64993616176845
N10,N11,7.100398335744364,5.673715385445357
N10,N20,7.100398335744364,5.627479621787737
N11,N12,5.673715385445357,5.673713166162002
N11,N21,5.673715385445357,4.881112759761041
N12,N13,5.673713166162002,4.64993616176845
N12,N22,5.673713166162002,4.048880113883195
N13,N23,4.64993616176845,2.8996073054449645
N20,N21,5.627479621787737,4.881112759761041
N20,N30,5.627479621787737,4.900927769857805
N21,N22,4.881112759761041,4.048880113883195
N21,N31,4.881112759761041,4.174375917927873
N22,N23,4.048880113883195,2.8996073054449645
N22,N32,4.048880113883195,2.7410872241647715
N23,N33,2.8996073054449645,5.640683248243239e-06
N30,N31,4.900927769857805,4.174375917927873
N31,N32,4.174375917927873,2.7410872241647715
N32,N33,2.7410872241647715,5.640683248243239e-06
