node1,node2,voltage1,voltage2
N00,N01,10.0,7.1003983356284275
N00,N10,10.0,7.258918416858458
N01,N02,7.1003983356284275,5.350069479542373
N01,N11,7.1003983356284275,5.951125527342912
N02,N03,5.350069479542373,4.62351762763139
N02,N12,5.350069479542373,4.3262924753673
N03,N13,4.62351762763139,3.8969657757204077
N10,N11,7.258918416858458,5.951125527342912
N10,N20,7.258918416858458,5.825629723232466
N11,N12,5.951125527342912,4.3262924753673
N11,N21,5.951125527342912,5.118892881517456
N12,N13,4.3262924753673,3.8969657757204077
N12,N22,4.3262924753673,4.326290256083943
N13,N23,3.8969657757204077,2.7410872241625333
N20,N21,5.825629723232466,5.118892881517456
N20,N30,5.825629723232466,5.099077871321484
N21,N22,5.118892881517456,4.326290256083943
N21,N31,5.118892881517456,4.372526019410501
N22,N23,4.326290256083943,2.7410872241625333
N22,N32,4.326290256083943,2.899607305392564
N23,N33,2.7410872241625333,5.640683248188601e-06
N30,N31,5.099077871321484,4.372526019410501
N31,N32,4.372526019410501,2.899607305392564
N32,N33,2.899607305392564,5.640683248188601e-06
