node1,node2,voltage1,voltage2
N00,N01,10.0,7.30769375739567
N00,N10,10.0,7.30769375739567
N01,N02,7.30769375739567,5.769233047336054
N01,N11,7.30769375739567,6.153848224850959
N02,N03,5.769233047336054,5.0000026923062455
N02,N12,5.769233047336054,5.000002692306246
N03,N13,5.0000026923062455,4.230772337276437
N10,N11,7.30769375739567,6.153848224850959
N10,N20,7.30769375739567,5.769233047336054
N11,N12,6.153848224850959,5.000002692306246
N11,N21,6.153848224850959,5.000002692306246
N12,N13,5.000002692306246,4.230772337276437
N12,N22,5.000002692306246,3.8461571597615327
N13,N23,4.230772337276437,2.692311627216818
N20,N21,5.769233047336054,5.000002692306246
N20,N30,5.769233047336054,5.0000026923062455
N21,N22,5.000002692306246,3.8461571597615327
N21,N31,5.000002692306246,4.230772337276437
N22,N23,3.8461571597615327,2.692311627216818
N22,N32,3.8461571597615327,2.692311627216818
N23,N33,2.692311627216818,5.384612485208666e-06
N30,N31,5.0000026923062455,4.230772337276437
N31,N32,4.230772337276437,2.692311627216818
N32,N33,2.692311627216818,5.384612485208666e-06
