N1X,N1Y,N2X,N2Y,voltage
0,0,9,0,4.7917677865120645
0,0,0,9,4.72078642277396
0,1,9,1,2.9586029974628216
1,0,1,9,3.227688897744721
0,2,9,2,3.108751190836319
2,0,2,9,2.4545527188464025
0,3,9,3,2.415129760831717
3,0,3,9,2.0402365587112117
0,4,9,4,2.1062597051316834
4,0,4,9,1.8661906700462279
0,5,9,5,2.061471676995513
5,0,5,9,1.8955526845833939
0,6,9,6,2.2566296622412456
6,0,6,9,2.1350386153523564
0,7,9,7,2.7317232035094
7,0,7,9,2.6373750832641085
0,8,9,8,3.6197851667096668
8,0,8,9,3.541391346444332
0,9,9,9,5.279210096189234
9,0,9,9,5.20822873245113
