N1X,N1Y,N2X,N2Y,voltage
0,0,9,0,4.999998339791791
0,0,0,9,4.999998339791796
0,1,9,1,3.413337352185298
1,0,1,9,3.413337352185306
0,2,9,2,2.557987883228039
2,0,2,9,2.557987883228046
0,3,9,3,2.090440723668932
3,0,3,9,2.0904407236689417
0,4,9,4,1.8801090004539134
4,0,4,9,1.8801090004539223
0,5,9,5,1.880109000453924
5,0,5,9,1.8801090004539294
0,6,9,6,2.090440723668961
6,0,6,9,2.0904407236689653
0,7,9,7,2.557987883228088
7,0,7,9,2.557987883228091
0,8,9,8,3.4133373521853754
8,0,8,9,3.4133373521853807
0,9,9,9,4.999998339791915
9,0,9,9,4.9999983397919205
