node1,node2,voltage1,voltage2
N00,N01,10.0,7.100398335355473
N00,N10,10.0,7.258918416592668
N01,N02,7.100398335355473,5.627479621346294
N01,N11,7.100398335355473,5.67371538472013
N02,N03,5.627479621346294,4.900927769432606
N02,N12,5.627479621346294,4.881112759250802
N03,N13,4.900927769432606,4.174375917518917
N10,N11,7.258918416592668,5.67371538472013
N10,N20,7.258918416592668,6.103039865057877
N11,N12,5.67371538472013,4.881112759250802
N11,N21,5.67371538472013,5.673713165436773
N12,N13,4.881112759250802,4.174375917518917
N12,N22,4.881112759250802,4.048880113417864
N13,N23,4.174375917518917,2.741087223873343
N20,N21,6.103039865057877,5.673713165436773
N20,N30,6.103039865057877,5.376488013144188
N21,N22,5.673713165436773,4.048880113417864
N21,N31,5.673713165436773,4.6499361612304995
N22,N23,4.048880113417864,2.741087223873343
N22,N32,4.048880113417864,2.899607305110538
N23,N33,2.741087223873343,5.640683247617385e-06
N30,N31,5.376488013144188,4.6499361612304995
N31,N32,4.6499361612304995,2.899607305110538
N32,N33,2.899607305110538,5.640683247617385e-06
